Date,Open,High,Low,Close,Adj Close,Volume
2010-12-08,15708.000000,16240.000000,15216.000000,15356.000000,14643.987305,500
2010-12-09,15672.000000,15704.000000,15304.000000,15480.000000,14762.237305,1000
2010-12-10,15424.000000,15692.000000,15100.000000,15604.000000,14880.487305,600
2010-12-13,16108.000000,16288.000000,15804.000000,15848.000000,15113.173828,100
2010-12-14,15976.000000,16128.000000,15724.000000,15872.000000,15136.060547,100
2010-12-15,15604.000000,15832.000000,15252.000000,15304.000000,14594.397461,100
2010-12-16,15212.000000,15212.000000,14548.000000,14832.000000,14144.283203,100
2010-12-17,14928.000000,14992.000000,14512.000000,14840.000000,14151.911133,0
2010-12-20,15108.000000,15200.000000,14732.000000,15092.000000,14392.227539,0
2010-12-21,15172.000000,15172.000000,14832.000000,15044.000000,14346.454102,0
2010-12-22,15056.000000,15056.000000,14696.000000,14708.000000,14026.032227,0
2010-12-23,14600.000000,15112.000000,14524.000000,14924.000000,14232.017578,0
2010-12-27,14900.000000,14900.000000,14484.000000,14736.000000,14052.733398,0
2010-12-28,15320.000000,15560.000000,15052.000000,15508.000000,14788.938477,0
2010-12-29,15672.000000,15756.000000,15488.000000,15604.000000,14880.487305,0
2010-12-30,15684.000000,15720.000000,15288.000000,15380.000000,14666.873047,0
2010-12-31,15520.000000,15816.000000,15456.000000,15680.000000,14952.963867,0
2011-01-03,15892.000000,15960.000000,15148.000000,15300.000000,14590.583008,100
2011-01-04,14988.000000,15028.000000,13948.000000,14448.000000,13778.086914,100
2011-01-05,14136.000000,14220.000000,13756.000000,14080.000000,13427.150391,0
2011-01-06,14124.000000,14132.000000,13292.000000,13356.000000,12736.721680,0
2011-01-07,13244.000000,13788.000000,13220.000000,13352.000000,12732.907227,0
2011-01-10,13412.000000,13492.000000,13160.000000,13420.000000,12797.753906,0
2011-01-11,13808.000000,13984.000000,13632.000000,13984.000000,13335.602539,0
2011-01-12,14020.000000,14064.000000,13632.000000,13932.000000,13286.013672,0
2011-01-13,13976.000000,13988.000000,12852.000000,13004.000000,12401.041016,100
2011-01-14,12776.000000,12776.000000,12344.000000,12468.000000,11889.895508,0
2011-01-18,12796.000000,13004.000000,12728.000000,12884.000000,12286.606445,0
2011-01-19,13128.000000,13128.000000,12536.000000,12644.000000,12057.734375,0
2011-01-20,12128.000000,12360.000000,11780.000000,12296.000000,11725.870117,100
2011-01-21,12264.000000,12440.000000,12024.000000,12040.000000,11481.741211,0
2011-01-24,12760.000000,12760.000000,11672.000000,11800.000000,11252.869141,100
2011-01-25,11512.000000,11748.000000,11388.000000,11644.000000,11104.100586,0
2011-01-26,11636.000000,12760.000000,11608.000000,12760.000000,12168.355469,100
2011-01-27,12504.000000,12756.000000,11788.000000,11900.000000,11348.231445,100
2011-01-28,11796.000000,12616.000000,11720.000000,12172.000000,11607.619141,100
2011-01-31,12108.000000,12252.000000,11800.000000,11992.000000,11435.965820,0
2011-02-01,12348.000000,12696.000000,12052.000000,12684.000000,12095.879883,200
2011-02-02,12708.000000,12752.000000,12280.000000,12452.000000,11874.636719,0
2011-02-03,12600.000000,13240.000000,12264.000000,13176.000000,12565.066406,100
